"Wave Length","Absorbance"
450,0.861104444894397
451,0.862909860589785
452,0.863162348371518
453,0.863539498929003
454,0.866339295160531
455,0.870094528823619
456,0.872301534736495
457,0.872945159035527
458,0.873783502293004
459,0.8747966665459
460,0.875296857332688
461,0.876443130107211
462,0.878873539873461
463,0.880336740221086
464,0.878467259820835
465,0.874291518438929
466,0.870132020452582
467,0.866190368341987
468,0.861678233013683
469,0.857115537944321
470,0.852442866248854
471,0.844777405549732
472,0.831805187974642
473,0.816757531605149
474,0.804434928004814
475,0.793988870095739
476,0.781687600906693
477,0.767006314801668
478,0.752269334392932
479,0.738567576483624
480,0.724878013514953
481,0.710586696526085
482,0.696164566066787
483,0.681598887899975
484,0.666429885331487
485,0.651319211311091
486,0.637485329672362
487,0.624655749859578
488,0.611496344476309
489,0.597504096286132
490,0.583001379367068
491,0.567990035134826
492,0.552598058785554
493,0.538365728108363
494,0.527072801147287
495,0.518383357175071
496,0.510440916253885
497,0.502540315918271
498,0.495586603995273
499,0.490008821597223
500,0.484873432986564
501,0.47948832193209
502,0.474624017771973
503,0.471359238725818
504,0.469551740360623
505,0.46837994726524
506,0.467405843561858
507,0.466351098189106
508,0.464816075200723
509,0.462706165757361
510,0.460216458172075
511,0.457258183091583
512,0.453598818497979
513,0.449531831366921
514,0.445537837851599
515,0.441349063714553
516,0.436230815983082
517,0.430323074407969
518,0.424895430912654
519,0.420857004238819
520,0.417963508319858
521,0.415762732306759
522,0.414212607092215
523,0.413164216060865
524,0.412194111192294
525,0.411268189222126
526,0.410977936268132
527,0.411711797308522
528,0.413097740732922
529,0.414655200117403
530,0.416223840982967
531,0.417562515951282
532,0.418288382409417
533,0.418418750735119
534,0.418364466238109
535,0.418251912233616
536,0.417885815913556
537,0.417415135040448
538,0.417291268117878
539,0.417519521008868
540,0.417642445462835
541,0.417531750396893
542,0.417530622338872
543,0.417738524280698
544,0.417868562222252
545,0.417893697187834
546,0.418139535646082
547,0.418660243261555
548,0.419218575065124
549,0.419981854465913
550,0.421432308784206
551,0.423529951746834
552,0.425773244808154
553,0.428083227598912
554,0.430762292045404
555,0.433632378073441
556,0.436188640293922
557,0.438565776373205
558,0.441196444425047
559,0.443501296384757
560,0.444257064203364
561,0.443465117364172
562,0.44258997966558
563,0.442666774151183
564,0.443376885037474
565,0.444223034662231
566,0.445385292513432
567,0.446940527579245
568,0.448326234762619
569,0.449241292762023
570,0.450154430706238
571,0.451349952830708
572,0.452388080586259
573,0.452936145897963
574,0.453241607412623
575,0.453494068557593
576,0.453566116103192
577,0.453662294722639
578,0.454320950519132
579,0.455527700138385
580,0.456705547850002
581,0.457700108564089
582,0.458893987035495
583,0.46021676955368
584,0.461065484504585
585,0.461425650985139
586,0.462039207336619
587,0.463192298205828
588,0.464367818162662
589,0.46535354585948
590,0.466601459847225
591,0.468195360504689
592,0.469558347617174
593,0.470583095458492
594,0.471918170212837
595,0.4736930615622
596,0.475144766416423
597,0.475893802239249
598,0.476450505967215
599,0.477071316549115
600,0.477186106561531
601,0.476470195073055
602,0.475360334466949
603,0.473957294825063
604,0.471551997067064
605,0.467853028855822
606,0.463608794728906
607,0.459394619344505
608,0.454821065081717
609,0.449699676570889
610,0.444749248862368
611,0.440349254607366
612,0.436123413278022
613,0.431979347904181
614,0.428536883964209
615,0.426387990856345
616,0.425839080145125
617,0.427516706067285
618,0.431870892608563
619,0.43740637217853
620,0.440921309943342
621,0.440618147044139
622,0.437819138097864
623,0.43484683220887
624,0.432039704313815
625,0.427449451064034
626,0.418918629932539
627,0.406051499545981
628,0.390678806364038
629,0.375909638424724
630,0.36421968361948
631,0.355878903019932
632,0.349776670702015
633,0.345268758507896
634,0.342415492688298
635,0.34091013340882
636,0.339906811056298
637,0.339161379508268
638,0.3393935326454
639,0.340994241049935
640,0.343584228260781
641,0.347356624624149
642,0.352983202729938
643,0.359516797105381
644,0.363794782725398
645,0.362745450888497
646,0.355992528924478
647,0.345973131785215
648,0.335963173689058
649,0.328451444985691
650,0.324100988629149
651,0.321394019834956
652,0.318619431761346
653,0.315824970687678
654,0.313927767432272
655,0.312936480659045
656,0.312030175395656
657,0.311048979868893
658,0.310482417829595
659,0.310113337750301
660,0.309260815514003
661,0.308603320719583
662,0.308536965450664
663,0.307316230862082
664,0.302840866140124
665,0.294142709013035
666,0.282162559146741
667,0.268203144411305
668,0.259452262835072
669,0.268029572459605
670,0.285990045023263
671,0.300351751814693
672,0.310334309561192
673,0.317326524020614
674,0.321904122265733
675,0.324666818214102
676,0.326952872262183
677,0.32917592196664
678,0.330704283319621
679,0.331324981275768
680,0.331183717086301
681,0.330582864423043
682,0.329376053857345
683,0.327926194485254
684,0.327442007183166
685,0.328353216842993
686,0.329903453106149
687,0.331453099592251
688,0.333355953885743
689,0.336154968562654
690,0.340053586386866
691,0.345245418291205
692,0.351818905824397
693,0.359610741657597
694,0.368369130935002
695,0.378166075873458
696,0.389534934888093
697,0.402592002883797
698,0.416755976597185
699,0.431212929220604
700,0.444889439943005
701,0.456361698471981
702,0.463891655335266
703,0.466206632077237
704,0.463715693222616
705,0.458665439643206
706,0.454513814342338
707,0.454901733345291
708,0.462583866491535
709,0.478180963198014
710,0.497911891939047
711,0.512569928230734
712,0.511037314475214
713,0.487295952186964
714,0.445594633425652
715,0.398107553188634
716,0.356793673696544
717,0.327218918123408
718,0.308616401170856
719,0.297811835298859
720,0.292149663136987
721,0.289873423652463
722,0.289709151297195
723,0.290817454195916
724,0.29264874081902
725,0.294668967029801
726,0.296509585115373
727,0.298289989434096
