"Wave Length","Absorbance"
450,0.895249814183593
451,0.902248171708691
452,0.909464417238026
453,0.915203169948059
454,0.921112427276235
455,0.916955957127719
456,0.916322269063978
457,0.914065588460518
458,0.916670738238847
459,0.921522393331995
460,0.922877030544325
461,0.922929374831088
462,0.925991576756624
463,0.930449434311958
464,0.932304079409183
465,0.932381774422113
466,0.933163107364183
467,0.932814563283923
468,0.927882401317416
469,0.919539603067649
470,0.910493218893015
471,0.8989618626074
472,0.882508800945344
473,0.864888135149115
474,0.851120347510846
475,0.839306167747034
476,0.826023075201212
477,0.812446968441825
478,0.800489230811356
479,0.78794407304176
480,0.772264814289045
481,0.755200907365825
482,0.739306721673758
483,0.723406317543255
484,0.70573719351807
485,0.688317603244223
486,0.673597326093469
487,0.660032609521698
488,0.645298200318191
489,0.630236282148003
490,0.616452271576337
491,0.602920323851358
492,0.588209223575694
493,0.573915561078407
494,0.562171037253907
495,0.551873267862622
496,0.541343971891323
497,0.531754730497063
498,0.52490900050021
499,0.519802485248015
500,0.514434517820155
501,0.509309169400958
502,0.505816636288077
503,0.502698934096119
504,0.498165652595791
505,0.493274280444724
506,0.489878048645947
507,0.487564059550058
508,0.48496451226244
509,0.482769288447042
510,0.482144352814391
511,0.481968463644584
512,0.480416106413306
513,0.477616133605607
514,0.474674445264387
515,0.47120147797133
516,0.466549914611243
517,0.462062512983984
518,0.459287324807198
519,0.456886938868112
520,0.452993701571103
521,0.448902040939905
522,0.446883677850899
523,0.446713589909037
524,0.446805371552757
525,0.447008668466382
526,0.44794212786602
527,0.448833341969457
528,0.44885198876444
529,0.449005410026938
530,0.450065820232993
531,0.450909552402732
532,0.450549736308212
533,0.450152629056584
534,0.451003924817153
535,0.451957461387121
536,0.451339285605043
537,0.449856155461079
538,0.449145243522901
539,0.448741908700293
540,0.447533416096795
541,0.446367850569504
542,0.446626812698844
543,0.447608477004049
544,0.448051378940355
545,0.448667872364247
546,0.450491322697228
547,0.452221736072869
548,0.452232659483881
549,0.451712659836072
550,0.452592362671485
551,0.454152447933204
552,0.454586623617775
553,0.454534144245346
554,0.455937265532668
555,0.458747258823013
556,0.461403161808246
557,0.463630426519246
558,0.466080865141244
559,0.46820363045321
560,0.469133645300937
561,0.469673124947351
562,0.470958137080009
563,0.472293111575025
564,0.472752841981538
565,0.473330390587256
566,0.475032260755889
567,0.47641808803416
