"Wave Length","Absorbance"
450,0.92276113761393
451,0.931714423951689
452,0.937387300937843
453,0.932072565883503
454,0.94117608834715
455,0.948365967495283
456,0.949452060054809
457,0.945501317072936
458,0.943108606107936
459,0.941805761525907
460,0.938286880183722
461,0.934592336784508
462,0.933963027520434
463,0.934362392676908
464,0.932338175962688
465,0.929387311500137
466,0.928295735740518
467,0.927453494494297
468,0.923688572151212
469,0.917970204988718
470,0.912047696130521
471,0.902804807173283
472,0.8867966092998
473,0.868068307365955
474,0.852917396461552
475,0.839880384383089
476,0.824722739728785
477,0.808119335752014
478,0.792961047104654
479,0.778910393266342
480,0.764349289669879
481,0.750130350234587
482,0.737048855436182
483,0.72258556246401
484,0.704644377180827
485,0.685771268540958
486,0.669212213338071
487,0.653897155111863
488,0.637536234983932
489,0.621042108008823
490,0.606531959971112
491,0.593513275039978
492,0.580110236767473
493,0.566658727851554
494,0.55473571221973
495,0.544025362080125
496,0.533768765813492
497,0.524983924914659
498,0.518622492305913
499,0.51323616986267
500,0.507067751015827
501,0.501057382275759
502,0.496982078531273
503,0.494006471221268
504,0.490562880829803
505,0.48741556973438
506,0.485902116942895
507,0.485115557905974
508,0.48315139672853
509,0.480218039472114
510,0.477600334844699
511,0.475308073538738
512,0.472972441794312
513,0.471081978399669
514,0.469618385553792
515,0.466799344134482
516,0.461524771274643
517,0.455687483001175
518,0.451636149243171
519,0.448489022048836
520,0.44439618061301
521,0.440348289460359
522,0.438312200592957
523,0.438091767432693
524,0.43840483375499
525,0.439191856524414
526,0.440617159524405
527,0.441362410315823
528,0.440649310264234
529,0.439887283479474
530,0.440111440444649
531,0.440429629101981
532,0.440157048532791
533,0.440549238679139
534,0.442552085503556
535,0.44451180140386
536,0.444481706800711
537,0.443238154819435
538,0.442614668652072
539,0.442310657200477
540,0.441312634048803
541,0.440440062313644
542,0.440944666420486
543,0.442096749627706
544,0.44277686195878
545,0.443770755827595
546,0.445982884298966
547,0.447929552929475
548,0.447833733886912
549,0.446666653155796
550,0.446285319918071
551,0.446481821711179
552,0.446367244909116
553,0.446870087250451
554,0.449156183619071
555,0.452218248490628
556,0.454417741420651
557,0.456143097761147
558,0.458419981406256
559,0.460446992038541
560,0.461070556030191
561,0.461167473929463
562,0.462018705180956
563,0.462830462924926
564,0.462556040140732
565,0.462443572832413
566,0.464097327703311
567,0.466502463894975
568,0.467699708667819
569,0.467923479680493
570,0.468499987948361
571,0.46909320116168
572,0.468979642293058
573,0.46926822370334
574,0.471034937006128
575,0.472962170903546
576,0.473234655753468
577,0.472833568479441
578,0.473808230489595
579,0.475708836732181
580,0.476734047562043
581,0.47692827811379
582,0.477429231944002
583,0.477834070435517
584,0.477202718710766
585,0.476500564266599
586,0.477550161788595
587,0.480254888007147
588,0.483206312214647
589,0.486029740256471
590,0.489053902263515
591,0.491499851316486
592,0.492429721557819
593,0.492743864150346
594,0.493862755307223
595,0.495426493158833
596,0.496515864666012
597,0.497721347170594
598,0.499810847165727
599,0.501687089455775
600,0.501806770726886
601,0.500748812068188
602,0.499924424709741
603,0.498842016835379
604,0.496179469678585
605,0.492417066641863
606,0.489020071788818
607,0.485797095407767
608,0.481535316287339
609,0.476661838142257
610,0.472603677531306
611,0.469011337191196
612,0.464668886906564
613,0.460057531421064
614,0.456597980398302
615,0.454198234031463
616,0.452111593814274
617,0.451490797500642
618,0.454188190339332
619,0.459177682688169
620,0.462920496543124
621,0.463461251329114
622,0.461902356629372
623,0.459792892572623
624,0.457001586549508
625,0.452171970620355
626,0.443683410828633
627,0.430678905236401
628,0.414572384413795
629,0.399024114653325
630,0.387059057408411
631,0.378638116460419
632,0.372413718040584
633,0.368302477163253
634,0.366564635716024
635,0.365901360231119
636,0.364771970709087
637,0.363745631753305
638,0.364304916523856
639,0.366126213726095
640,0.368034930047064
641,0.370821037672725
642,0.375973509292226
643,0.382120788436996
644,0.385527807171015
645,0.383748327127914
646,0.377049454708439
647,0.367178777390247
648,0.356603719384744
649,0.3484411811812
650,0.344323554813327
651,0.342382166400456
652,0.34001447570919
653,0.337442295247557
654,0.336092313341261
655,0.335392806182637
656,0.333811424771662
657,0.332010103019178
658,0.331611666776542
659,0.332290566577057
660,0.332889595458236
661,0.333637315624364
662,0.334511360705099
663,0.333544044055037
664,0.328427512457549
665,0.318040678400188
666,0.302926278525297
667,0.285285961028006
668,0.274545649619467
669,0.284127116797878
670,0.30442560578772
671,0.321756986372865
672,0.332840892283345
673,0.339274798243433
674,0.343040446990833
675,0.345168165962159
676,0.346406592789281
677,0.347490807919151
678,0.348401753425267
679,0.348850549328732
680,0.348852351623873
681,0.348586826877298
682,0.34779985235329
683,0.346889444760395
684,0.346920486905163
685,0.348261876211235
686,0.350480419520491
687,0.353282897830954
688,0.356734777121318
689,0.360537101247598
690,0.36431998775391
691,0.368461276959426
692,0.373636536118992
693,0.380179506680566
694,0.388011885131166
695,0.397079884794309
696,0.407738855822397
697,0.420088188786979
698,0.433685427450878
699,0.447826990639193
700,0.461442187931174
701,0.473069915269255
702,0.480912258119823
703,0.483581773097528
704,0.481313247634339
705,0.476145796530572
706,0.47133611122568
707,0.470401595859159
708,0.476171055814478
709,0.489507708277272
710,0.507019932779122
711,0.520147548581096
712,0.518608694029136
713,0.496770008214292
714,0.458163308979782
715,0.413532420280331
716,0.373903709758344
717,0.345013295073034
718,0.326797032728315
719,0.316477201639448
720,0.311301908379154
721,0.309291236435405
722,0.309135093195168
723,0.3101137888271
724,0.311835119263286
725,0.313876420670336
726,0.315763649235895
727,0.31738693425287
