"Wave Length","Absorbance"
450,0.871755425254498
451,0.874745693702902
452,0.87730624890603
453,0.878174034637656
454,0.877967954423691
455,0.879856787980246
456,0.883455578948961
457,0.888974916353047
458,0.890194092223691
459,0.889574720361643
460,0.890557292062075
461,0.891431103533095
462,0.891183901648302
463,0.890383692260501
464,0.889570982187837
465,0.887535042938992
466,0.883551712236975
467,0.878616567865363
468,0.873650653632017
469,0.868310782629886
470,0.862187642800362
471,0.855060002847634
472,0.84555785155598
473,0.832530327384384
474,0.818114835233754
475,0.805351305848819
476,0.793583227255156
477,0.779934379277458
478,0.764075382403398
479,0.748856854303845
480,0.735858327250749
481,0.723257239010598
482,0.709141142976578
483,0.693927350004565
484,0.678359406896598
485,0.661959707191582
486,0.645036412682624
487,0.62934184380657
488,0.61519382410945
489,0.600680994294907
490,0.584745441722873
491,0.568857500912658
492,0.554607041581221
493,0.541892506175208
494,0.530691846285577
495,0.521961662802666
496,0.515442470750726
497,0.509267218938354
498,0.502763447119029
499,0.497147149949127
500,0.492543580937436
501,0.486983447873804
502,0.479870657153835
503,0.473806607571852
504,0.470459580068168
505,0.468084503436544
506,0.465226670579984
507,0.462966423315874
508,0.461992605123965
509,0.460561647655387
510,0.457491776068878
511,0.454240924092389
512,0.452074442705864
513,0.449858112852593
514,0.446331168960528
515,0.442314570706507
516,0.438822640774348
517,0.435032099358635
518,0.430208719195835
519,0.425839183770934
520,0.423401898525908
521,0.422200958812603
522,0.421304969624151
523,0.421107649597126
524,0.42172648922356
525,0.42199176590192
526,0.421529828872354
527,0.421928750102842
528,0.423869772109853
529,0.425657642148169
530,0.42615460557925
531,0.426411910403636
532,0.427351387479028
533,0.428009203625077
534,0.42751084508187
535,0.426843029624271
536,0.427021365678725
537,0.4273031480512
538,0.426736618545714
539,0.425835558783802
540,0.425273381668603
541,0.4247350406204
542,0.424277139080063
543,0.424974264425085
544,0.426970495007913
545,0.428673346467258
546,0.429028337350428
547,0.42886435658861
548,0.428935617634475
549,0.428709074967213
550,0.428207231010295
551,0.428787592820231
552,0.43092980804065
553,0.433328520280491
554,0.435211550382961
555,0.437375690182326
556,0.440074884883688
557,0.442077485204599
558,0.442839134671851
559,0.443438244285996
560,0.444390550699538
561,0.444644378188367
562,0.443760564660754
563,0.44304077188559
564,0.443396689574128
565,0.444063953364912
566,0.444394257999159
567,0.445002133486733
568,0.446111038523559
569,0.446785877731105
570,0.44683838470562
571,0.447424895011737
572,0.448792019039326
573,0.449563167085186
574,0.449056216747273
575,0.448377500251653
576,0.448497994261639
577,0.448934522982833
578,0.449274450064376
579,0.450070041658049
580,0.451347188500931
581,0.452136074033052
582,0.452280944424143
583,0.45285815589027
584,0.454131305045597
585,0.455047309824992
586,0.455316281262697
587,0.45600259016097
588,0.457421936164472
589,0.458472062483184
590,0.458685049500085
591,0.459143143925324
592,0.460621195458706
593,0.462508421991376
594,0.464338190210687
595,0.466502535254624
596,0.468763275396087
597,0.47001205616925
598,0.470055885750004
599,0.469942299796637
600,0.470004004482203
601,0.469264856121711
602,0.467332292835569
603,0.465080514379632
604,0.462993700939535
605,0.460584237422676
606,0.457800529258722
607,0.455234649235267
608,0.452585631096771
609,0.448846166703405
610,0.44423368677462
611,0.440016322682986
612,0.436540809566621
613,0.432908277459546
614,0.428868624176031
615,0.425653577967815
616,0.424508882755117
617,0.425710919546882
618,0.429092531873737
619,0.433830985378323
620,0.437649706780221
621,0.438324291895091
622,0.43622901760381
623,0.43369617298299
624,0.431502530965296
625,0.427519169367997
626,0.419426701984781
627,0.407405669429786
628,0.39358525545864
629,0.380336766627717
630,0.369632119599909
631,0.362424034773965
632,0.358087897558725
633,0.355113361901371
634,0.352729270447567
635,0.351243015095439
636,0.350729401688517
637,0.350617353614026
638,0.350847753491231
639,0.352000471612511
640,0.3542316189654
641,0.357458610557158
642,0.361974314402337
643,0.367395909007297
644,0.371267846714996
645,0.370371533585517
646,0.364027146687055
647,0.354966527034906
648,0.346532800890023
649,0.340398668455306
650,0.336752189193298
651,0.334879724160843
652,0.333668040654051
653,0.332331393244323
654,0.330894908056677
655,0.329757269301027
656,0.328802776234025
657,0.327665815232902
658,0.326541966480783
659,0.325850871311147
660,0.3254961152661
661,0.325523237402312
662,0.325819355627365
663,0.325400439454213
664,0.32260665519137
665,0.315898721041169
666,0.305607216147558
667,0.293927256966396
668,0.28767354644692
669,0.295439437187883
670,0.30981479939413
671,0.32129551120427
672,0.329699177741416
673,0.335643473794129
674,0.339289616779731
675,0.341543578475246
676,0.34387852328523
677,0.346138801135464
678,0.347343453274785
679,0.347674043534098
680,0.347704636959608
681,0.347417851424577
682,0.346535401507219
683,0.345850114269007
684,0.346410496039214
685,0.347679231367668
686,0.348617311135632
687,0.349623968600053
688,0.351812089366372
689,0.355072765426226
690,0.358707811389901
691,0.363038678958853
692,0.368647905746232
693,0.375269564041125
694,0.382516848816396
695,0.390893372794496
696,0.401113915399536
697,0.412761208834348
698,0.424998962569709
699,0.437717255595388
700,0.450546209723257
701,0.461824410622305
702,0.469437758751419
703,0.472462937990394
704,0.471662970673267
705,0.468914053476731
706,0.46722951925693
707,0.470388608167758
708,0.481185225668358
709,0.499519851674705
710,0.520943242368293
711,0.53637241821334
712,0.534890337677286
713,0.510210163320095
714,0.466650203958276
715,0.417255574443038
716,0.374622807569909
717,0.343999066507554
718,0.324202196200636
719,0.312378523789233
720,0.306307982193951
721,0.304008933057348
722,0.30382460708619
723,0.305042742467149
724,0.307291483432357
725,0.309753571134967
726,0.31180174487726
727,0.313723914240394
