"Wave Length","Absorbance"
450,0.803970559322056
451,0.808983619249386
452,0.814115390564164
453,0.817424046390407
454,0.819544938445585
455,0.821329336672332
456,0.823125765717484
457,0.824441658795974
458,0.825951277372497
459,0.817836279099771
460,0.814831258693903
461,0.812290554522347
462,0.810503215012328
463,0.809921942040164
464,0.808368148689857
465,0.805948933479465
466,0.803231868997414
467,0.799583817742305
468,0.79396807553401
469,0.787481534264769
470,0.78161647111977
471,0.775087307178499
472,0.765221532268038
473,0.752558133555392
474,0.740357903382808
475,0.729274624862514
476,0.717695534793346
477,0.705310465968448
478,0.693137817266518
479,0.681277432594171
480,0.668892532850613
481,0.655956536104381
482,0.643193380069099
483,0.630512320755531
484,0.617206913717003
485,0.603559957602162
486,0.590637799678206
487,0.578673375287639
488,0.567075229596199
489,0.555681365114586
490,0.544864029137567
491,0.534624803424986
492,0.524568289125327
493,0.5149300951796
494,0.506564177951188
495,0.49958381386907
496,0.493294200162616
497,0.48735737484275
498,0.482224071860696
499,0.478280255544459
500,0.475203288654077
501,0.472471096890125
502,0.46978408321345
503,0.466870679467931
504,0.46366766398358
505,0.460608572453151
506,0.458337009305159
507,0.456945153656701
508,0.45574785390638
509,0.454196115555978
510,0.452346539864215
511,0.450312294908051
512,0.447966579547491
513,0.445229249484903
514,0.442254740796385
515,0.439023769080139
516,0.435310518605722
517,0.431231528747389
518,0.42737793522563
519,0.42408148087212
520,0.421154992086986
521,0.418672376892619
522,0.417144586840008
523,0.416798747281211
524,0.417262163130272
525,0.418022907833033
526,0.418840082356996
527,0.419639982509854
528,0.420431855384421
529,0.421425267293519
530,0.422668266444512
531,0.423730957436142
532,0.42415787697438
533,0.424170113343729
534,0.424473965305129
535,0.425296507775776
536,0.426141074027797
537,0.426496902424166
538,0.426312000970911
539,0.425612053476812
540,0.424508844983813
541,0.423577706566495
542,0.423550296651444
543,0.424483119582299
544,0.425841606460515
545,0.427356007275999
546,0.429105914731093
547,0.430806857751055
548,0.43189491216206
549,0.43246100203644
550,0.4332136431009
551,0.434499014887807
552,0.43609151098617
553,0.437945671775278
554,0.440310216703019
555,0.443039209871625
556,0.445587809738573
557,0.447901985313306
558,0.45043487480293
559,0.453103226827399
560,0.455092554258702
561,0.455914188644641
562,0.455918455335794
563,0.45562873465709
564,0.455440072603867
565,0.45592815463603
566,0.457558298907149
567,0.459940109182533
568,0.46214616673161
569,0.463802921701736
570,0.465144218956616
571,0.466075694733458
572,0.466270069504665
573,0.466092920732741
574,0.466276300425298
575,0.466843680087749
576,0.467214735752764
577,0.467433989248462
578,0.468135244700972
579,0.469294335003435
580,0.470170076155275
581,0.470534879257108
582,0.470935302210675
583,0.471618481529597
584,0.472315541031233
585,0.473094824756726
586,0.474464612836689
587,0.476394582837174
588,0.47821161349858
589,0.479600365293376
590,0.480885274017247
591,0.482161862971632
592,0.483101575280344
593,0.483811650882156
594,0.484875308770039
595,0.486360460159052
596,0.487698316490409
597,0.488612783149899
598,0.489255417836067
599,0.489436354880022
600,0.488617731124019
601,0.486878959505177
602,0.484893408657234
603,0.482752298556429
604,0.479864318433782
605,0.476060697799674
606,0.471905085137476
607,0.467692491300932
608,0.463084193403824
609,0.458033209239623
610,0.453131050605665
611,0.448693333303492
612,0.444553403521873
613,0.440775890210327
614,0.437806390020585
615,0.435930466177184
616,0.435410535364786
617,0.43706173517924
618,0.441389866252888
619,0.44684644927614
620,0.450311879946144
621,0.450070758055759
622,0.447339427341356
623,0.444165529227992
624,0.440587989844439
625,0.434643888139917
626,0.424685407333556
627,0.411166648508632
628,0.396361700495987
629,0.382807050713989
630,0.372058027589845
631,0.364323342910586
632,0.359056475178872
633,0.355712530055057
634,0.353861406277866
635,0.352936259058674
636,0.352471271940393
637,0.352601791884738
638,0.353741898276175
639,0.355744718479546
640,0.358165370002282
641,0.361375019277354
642,0.366174134591015
643,0.37179279466025
644,0.375244330824974
645,0.373535466370653
646,0.366301745996382
647,0.356073093495906
648,0.34627300799534
649,0.339132902034607
650,0.334843559192771
651,0.332090757249212
652,0.329658713103002
653,0.327463694968653
654,0.32591090014153
655,0.324862140764718
656,0.323772805880732
657,0.322625262911179
658,0.321823516149897
659,0.321433582325756
660,0.321260896892147
661,0.32134872685516
662,0.321657363020674
663,0.321718868703612
664,0.320696056527792
665,0.317954817001043
666,0.313489336060032
667,0.308190382762183
668,0.305538459175239
669,0.310115181412039
670,0.317904965682384
671,0.324412209214572
672,0.32901170301327
673,0.332322871750348
674,0.335010079578732
675,0.337483164045831
676,0.339882385207034
677,0.341947349742752
678,0.343198871075514
679,0.343355313779555
680,0.342477626816922
681,0.340832180918999
682,0.33884085012391
683,0.337300509372471
684,0.336897575852578
685,0.337650473509378
686,0.339293595117876
687,0.341820327891394
688,0.34529936052581
689,0.349482208480315
690,0.354150586343864
691,0.359523535958968
692,0.365865898983712
693,0.373206491350719
694,0.381615129774306
695,0.391421273168407
696,0.402935788831334
697,0.415980918623045
698,0.430000765353965
699,0.444258555500301
700,0.45753949279954
701,0.468137340573022
702,0.47447284266738
703,0.475909556988559
704,0.473240458340247
705,0.46869062377444
706,0.465602975618082
707,0.467488514443476
708,0.476701347461102
709,0.493067349788554
710,0.51233326279563
711,0.52567669888153
712,0.522826046818239
713,0.49864508689522
714,0.457877795227304
715,0.412200447832206
716,0.372291797881071
717,0.342842295531063
718,0.323327628037076
719,0.311345255726363
720,0.30462241006732
721,0.301278501867669
722,0.299896183201226
723,0.299749960355866
724,0.300555113686167
725,0.302015009786617
726,0.303794320142338
727,0.305726996774614
